"ProjectCode","OrgCode","InspectionId","InspectionDate","InspectorInitials","InspectionSummary","RecentFollowUp","InspectionDocumentName","InspectionDocumentFilename","InspectionDocumentURL","FollowUpDocumentNames ","FollowUpDocumentFileames","FollowUpDocumentUrls","OtherDocument","OtherDocumentURL","AuthorizationID","Type of Inspection"
"Brule","ENV",25026,2/4/2016,"MB","On February 4, 2016, Matthew Beckett, Senior Environmental Protection Officer, conducted an on-site inspection at the Brule mine. The inspection involved reviewing the 2014 annual water quality report and various 2015 monthly reports. ",,"ENV Inspection Report 25026","Brule_2016-02-04_EP-InspectionRpt_AMS17679_25026","https://mines.empr.gov.bc.ca/api/document/589bb98d87567d001d188179/fetch",,,,,,,
"Brule","ENV",31117,10/19/2016,"DS, LA","On October 19, 2016, Environmental Protection Officers Liz Archibald and Darren Stewart conducted an on-site inspection at the Brule mine. The purpose of the inspection was to assess compliance with the Environmental Management Act effluent discharge permit.
",,"ENV Inspection Report 31117","Brule_2016-10-19_EP-InspectionRpt_AMS17679_31117","https://mines.empr.gov.bc.ca/api/document/589bb98c87567d001d188178/fetch",,,,,,,
"Brule","ENV",31131,10/19/2016,"LA","On October 25, 2016, Liz Archibald, Environmental Protection Officer, conducted a data review of Brule's 2015 annual report. The scope of the data review was to identify any non-compliances with the effluent discharge permit during the 2015 monitoring period.",,"ENV Inspection Report 31131","Brule_2016-10-19_EP-InspectionRpt_AMS17679_31131","https://mines.empr.gov.bc.ca/api/document/589bb98d87567d001d18817a/fetch",,,,,,,
"Brule","ENV",31116,10/19/2016,"LA","On October 19, 2016, Environmental Protection Officers Liz Archibald and Darren Stewart Officer, visited the Brule mine to conduct an on-site inspection to verify compliance with the air discharge permit issued to the mine under the Environmental Management Act.",,"ENV Inspection Report 31116","Brule_2016-10-19_EP-InspectionRpt_AMS17680_31116","https://mines.empr.gov.bc.ca/api/document/589bb98d87567d001d18817d/fetch",,,,,,,
"Coal Mountain Operations","ENV",26167,2/25/2016,"LA","On February 25, 2016, Liz Archibald, Environmental Protection Officer, conducted a data review of 2015 quarterly reports for the air discharge permit issued to Coal Mountain under the Environmental Management Act.",,"ENV Inspection Report 26167","Coal_Mountain_2016-02-25_EP-InspectionRpt_AMS4751_26167","https://mines.empr.gov.bc.ca/api/document/589bb88c87567d001d188103/fetch",,,,,,,
"Coal Mountain Operations","ENV",30707,1/19/2016,"SP","On October 19, 2016, Stewart Paterson, Environmental Protection Technician, conducted a desktop inspection of the Coal Mountain mine. The inspector reviewed the 2015 fourth-quarter report to determine compliance with the effluent discharge permit issued to the mine under the Environmental Management Act.",,"ENV Inspection Report 30707","Coal_Mountain_2016-10-19_EP-InspectionRpt_AMS4750_30707","https://mines.empr.gov.bc.ca/api/document/589bb88c87567d001d188105/fetch",,,,,,,
"Coal Mountain Operations","ENV",30963,10/26/2016,"SP","On October 26, 2016, Stewart Paterson, Environmental Protection Technician, conducted a desktop inspection of the Coal Mountain mine. The inspector reviewed the 2015 first-quarter report to determine compliance with the effluent discharge permit issued to the mine under the Environmental Management Act.",,"ENV Inspection Report 30963","Coal_Mountain_2016-10-26_EP-InspectionRpt_AMS4750_30963","https://mines.empr.gov.bc.ca/api/document/589bb88c87567d001d188104/fetch",,,,,,,
"Coal Mountain Operations","ENV",31014,10/26/2016,"SP","On October 26, 2016, Stewart Paterson, Environmental Protection Technician, conducted a desktop inspection of the Coal Mountain mine. The inspector reviewed the 2015 second-quarter report to determine compliance with the effluent discharge permit issued  to the mine under the Environmental Management Act.",,"ENV Inspection Report 31014","Coal_Mountain_2016-10-26_EP-InspectionRpt_AMS4750_31014","https://mines.empr.gov.bc.ca/api/document/589bb88c87567d001d188116/fetch",,,,,,,
"Coal Mountain Operations","ENV",31508,11/21/2016,"SP","On November 21, 2016, Stewart Paterson, Environmental Protection Technician, conducted a desktop inspection of the Coal Mountain mine. The inspector reviewed the 2015 third-quarter report to determine compliance with the effluent discharge permit issued  to the mine under the Environmental Management Act.",,"ENV Inspection Report 31508","Coal_Mountain_2016-11-21_EP-InspectionRpt_AMS4750_31508","https://mines.empr.gov.bc.ca/api/document/589bb88c87567d001d188107/fetch",,,,,,,
"Copper Mountain","ENV",25425,2/2/2016,"SL","On February 02, 2016, Stephanie Little, Environmental Protection Officer, conducted an on-site inspection at the Copper Mountain mine. She was accompanied by Stephen Rothman, Inspector of Mines, Health & Safety and geotechnical staff from Golder. The inspector examined an incident involving a spill of debris from the mine site. ",,"ENV Inspection Report 25425","Copper_Mountain_2016-02-02_EP-InspectionRpt_AMS261_25425","https://mines.empr.gov.bc.ca/api/document/589bb80087567d001d1880f6/fetch",,,,,,,
"Elkview Operations","ENV",28608,5/17/2016,"RB","On May 17, 2016, Ross Blake, Environmental Protection Officer, conducted an on-site inspection at the Elkview mine in response to a complaint regarding dust from the mine site. ",,"ENV Inspection Report 28608","Elkview_2016-05-17_EP-InspectionRpt_AMS1807_28608","https://mines.empr.gov.bc.ca/api/document/589bb7cf87567d001d18809c/fetch",,,,,,,
"Elkview Operations","ENV",30388,10/3/2016,"SP","On October 3, 2016, Stewart Paterson, Environmental Protection Technician, conducted a desktop inspection of the Elkview mine. The inspector examined compliance under the Environmental Management Act effluent discharge permit. ",,"ENV Inspection Report 30388","Elkview_2016-10-03_EP-InspectionRpt_AMS425_30388","https://mines.empr.gov.bc.ca/api/document/589bb7cf87567d001d1880a1/fetch",,,,,,,
"Elkview Operations","ENV",30529,10/12/2016,"SP","On October 12, 2016, Stewart Paterson, Environmental Protection Technician, conducted a desktop inspection of the Elkview mine. The inspector reviewed the 2016 first-quarter report to determine compliance with the mine's effluent discharge permit issued under the Environmental Management Act.",,"ENV Inspection Report 30529","Elkview_2016-10-12_EP-InspectionRpt_AMS425_30529","https://mines.empr.gov.bc.ca/api/document/589bb7cf87567d001d1880a0/fetch",,,,,,,
"Elkview Operations","ENV",30596,10/12/2016,"SP","On October 12, 2016, Stewart Paterson, Environmental Protection Technician, conducted a desktop inspection of the Elkview mine. The inspector reviewed the 2016 second-quarter report to determine compliance with the mine's effluent discharge permit issued under the Environmental Management Act.",,"ENV Inspection Report 30596","Elkview_2016-10-12_EP-InspectionRpt_AMS425_30596","https://mines.empr.gov.bc.ca/api/document/589bb7cf87567d001d1880e9/fetch",,,,,,,
"Elkview Operations","ENV",31156,10/28/2016,"RB","On September 01, 2016, Ross Blake, Environmental Protection Officer, conducted an on-site inspection at the Elkview mine in response to a fugitive dust complaint.",,"ENV Inspection Report 31156","Elkview_2016-10-28_EP-InspectionRpt_AMS1807_31156","https://mines.empr.gov.bc.ca/api/document/589bb7cf87567d001d18809b/fetch",,,,,,,
"Elkview Operations","ENV",31427,11/2/2016,"DO","On November 2, 2016, Devan Oldfield, Environmental Protection Officer, conducted an on-site inspection at the Elkview mine to determine compliance with the Environmental Management Act effluent discharge permit. ",,"ENV Inspection Report 31427","Elkview_2016-11-02_EP-InspectionRpt_AMS425_31427","https://mines.empr.gov.bc.ca/api/document/589bb7cf87567d001d18809d/fetch",,,,,,,
"Elkview Operations","ENV",31495,11/21/2016,"SP","On November 21, 2016, Stewart Paterson, Environmental Protection Technician, conducted a desktop inspection of the Elkview mine's 2015 third-quarter report to determine compliance with the Environmental Management Act effluent discharge permit. ",,"ENV Inspection Report 31495","Elkview_2016-11-21_EP-InspectionRpt_AMS425_31495","https://mines.empr.gov.bc.ca/api/document/589bb7cf87567d001d18809e/fetch",,,,,,,
"Fording River Operations","ENV",25967,4/11/2016,"LA","On April 11, 2016, Liz Archibald, Environmental Protection Officer, conducted an office review of the Fording River mine. The inspector reviewed the 2015 third-quarter and fourth-quarter reports for the air discharge permit issued to the mine under the Environmental Management Act.",,"ENV Inspection Report 25967","Fording_River_2016-04-11_EP-InspectionRpt_AMS1501_25967","https://mines.empr.gov.bc.ca/api/document/589bb76587567d001d18805d/fetch",,,,,,,
"Fording River Operations","ENV",30568,10/12/2016,"SP","On October 12, 2016, Stewart Paterson, Environmental Protection Technician, conducted a desktop inspection of the Fording River mine. The inspector examined compliance under the Environmental Management Act effluent discharge permit.",,"ENV Inspection Report 30568","Fording_River_2016-10-12_EP-InspectionRpt_AMS424_30568","https://mines.empr.gov.bc.ca/api/document/589bb76587567d001d188086/fetch",,,,,,,
"Fording River Operations","ENV",30647,10/18/2016,"SP","On October 18, 2016, Stewart Paterson, Environmental Protection Technician, conducted a desktop inspection of the Fording River mine. The inspector examined compliance under the Environmental Management Act effluent discharge permit.",,"ENV Inspection Report 30647","Fording_River_2016-10-18_EP_InspectionRpt_AMS424_30647","https://mines.empr.gov.bc.ca/api/document/589bb76487567d001d18805b/fetch",,,,,,,
"Fording River Operations","ENV",30688,10/18/2016,"SP","On October 18, 2016, Stewart Paterson, Environmental Protection Technician, conducted a desktop inspection of the Fording River mine. The inspector reviewed the 2016 second-quarter report to determine compliance with the effluent discharge permit issued to the mine under the Environmental Management Act.",,"ENV Inspection Report 30688","Fording_River_2016-10-18_EP-InspectionRpt_AMS424_30688","https://mines.empr.gov.bc.ca/api/document/589bb76487567d001d18805a/fetch",,,,,,,
"Fording River Operations","ENV",31487,11/21/2016,"SP","On November 21, 2016, Stewart Paterson, Environmental Protection Technician, conducted a desktop inspection of the Fording River mine. The inspector reviewed the 2016 third-quarter report.  ",,"ENV Inspection Report 31487","Fording_River_2016-11-21_EP-InspectionRpt_AMS424_31487","https://mines.empr.gov.bc.ca/api/document/589bb76587567d001d18805c/fetch",,,,,,,
"Gibraltar","ENV",25585,2/11/2016,"JG","On February 11, 2016, Jack Green, Environmental Protection Officer, conducted a review of permit requirements at the Gibraltar mine. The inspector examined compliance under the Environmental Management Act effluent discharge permit.",,"ENV Inspection Report 25585","Gibraltar_2016-02-11_EP-InspectionRpt_AMS416_25585","https://mines.empr.gov.bc.ca/api/document/589bb67487567d001d188019/fetch",,,,,,,
"Gibraltar","ENV",28367,3/30/2016,"JG","On March 30, 2016, Jack Green, Environmental Protection Officer, visited the Gibraltar mine for a comprehensive inspection. The inspection was in response to an unauthorized discharge. ",,"ENV Inspection Report 28367","Gibraltar_2016-03-30_EP-InspectionRpt_AMS416_28367","https://mines.empr.gov.bc.ca/api/document/589bb67487567d001d18801b/fetch",,,,,,,
"Gibraltar","ENV",27848,4/19/2016,"JG","On April 19, 2016, Jack Green, Environmental Protection Officer, visited the Gibraltar mine for an on-site inspection. He was accompanied by 2 mine employees. The inspection included a review of the mine's Environmental Management Act effluent permit conditions and a site tour.",,"ENV Inspection Report 27848","Gibraltar_2016-04-19_EP-Inspection_AMS1595_27848","https://mines.empr.gov.bc.ca/api/document/589bb67487567d001d18801c/fetch",,,,,,,
"Gibraltar","ENV",27793,4/19/2016,"JG","On April 19, 2016, Jack Green, Environmental Protection Officer, visited the Gibraltar mine for an on-site inspection. He was accompanied by 2 mine employees. Site inspection consisted of a review of the mine's Environmental Management Act air permit requirements and a tour of the
mine and mill operation, including authorized discharges.On April 19, 2016, Jack Green, Environmental Protection Officer, visited the Gibraltar mine for an on-site inspection. He was accompanied by 2 mine employees. Site inspection consisted of a review of the mine's Environmental Management Act air permit requirements and a tour of the
mine and mill operation, including authorized discharges.On April 19, 2016, Jack Green, Environmental Protection Officer, visited the Gibraltar mine for an on-site inspection. He was accompanied by 2 mine employees. Site inspection consisted of a review of the mine's Environmental Management Act air permit requirements and a tour of the
mine and mill operation, including authorized discharges.",,"ENV Inspection Report 27793","Gibraltar_2016-04-19_EP-InspectionRpt_AMS416_27793","https://mines.empr.gov.bc.ca/api/document/589bb67487567d001d18801a/fetch",,,,,,,
"Gibraltar","ENV",29008,8/24/2016,"MB","On August 24, 2016, Matthew Beckett, Senior Environmental Protection Officer, visited Gibraltar mine for an on-site inspection. The inspection was in response to a water containment incident report. ",,"ENV Inspection Report 29008","Gibraltar_2016-08-24_EP-Inspection_AMS416_29008","https://mines.empr.gov.bc.ca/api/document/589bb67487567d001d188024/fetch",,,,,,,
"Greenhills Operations","ENV",26027,4/11/2016,"LA","On April 11, 2016, Liz Archibald, Environmental Protection Officer, conducted an office review of the Greenhills mine. The inspector reviewed the first-quarter, third-quarter and fourth-quarter reports for the air discharge permit issued to the mine under the Environmental Management Act to determine compliance.",,"ENV Inspection Report 26027","Greenhills_2016-04-11_EP-InspectionRpt_AMS6249_26027","https://mines.empr.gov.bc.ca/api/document/589bb5f987567d001d187fe5/fetch",,,,,,,
"Greenhills Operations","ENV",31109,10/28/2016,"SP","On October 28, 2016, Stewart Paterson, Environmental Protection Technician, conducted a desktop review of the Greenhills mine. The inspector reviewed the 2015 fourth-quarter report to determine if the mine was in compliance with its Environmental Management Act effluent discharge permit.",,"ENV Inspection Report 31109","Greenhills_2016-10-28_EP-InspectionRpt_AMS6248_31109","https://mines.empr.gov.bc.ca/api/document/589bb5f987567d001d187fe6/fetch",,,,,,,
"Greenhills Operations","ENV",31111,10/31/2016,"SP","On October 31, 2016, Stewart Paterson, Environmental Protection Technician, conducted a desktop review of the Greenhills mine. The inspector reviewed the 2015 second-quarter report to determine if the mine was in compliance with its Environmental Management Act effluent discharge permit.",,"ENV Inspection Report 31111","Greenhills_2016-10-31_EP_InspectionRpt_AMS6248_31111","https://mines.empr.gov.bc.ca/api/document/589bb5f987567d001d187ffd/fetch",,,,,,,
"Greenhills Operations","ENV",31087,10/31/2016,"SP","On October 31, 2016, Stewart Paterson, Environmental Protection Technician, conducted a desktop review of the Greenhills mine. The inspector reviewed the 2015 first-quarter report to determine if the mine was in compliance with its Environmental Management Act effluent discharge permit.",,"ENV Inspection Report 31087","Greenhills_2016-10-31_EP-InspectionRpt_AMS6248_31087","https://mines.empr.gov.bc.ca/api/document/589bb5f987567d001d187ff3/fetch",,,,,,,
"Highland Valley Copper","ENV",28993,6/16/2016,"JG","On June 16, 2016, Environmental Protection Officer Jack Green conducted an on-site inspection at the Highland Valley Copper (HVC) mine. He was accompanied by 2 other Environmental Protection Officers and several mine employees. The inspector assessed HVC's compliance with requirements of its effluent discharge permit issued under the Environmental Management Act. In addition to the site visit, HVC’s 2015 annual report was reviewed as part of this inspection.",,"ENV Inspection Report 28993","HVC_2016-06-16_EP-InspectionRpt_AMS376_28993","https://mines.empr.gov.bc.ca/api/document/589bb50087567d001d187fc0/fetch",,,,,,,
"Highland Valley Copper","ENV",29667,6/16/2016,"JG","On June 16, 2016, Environmental Protection Officer Jack Green conducted an on-site inspection at the Highland Valley Copper (HVC) mine. He was accompanied by 2 other Environmental Protection Officers and several mine employees. The inspector assessed HVC's compliance with requirements of its air discharge permit issued under the Environmental Management Act. In addition to the site visit, HVC’s 2015 annual report was reviewed as part of this inspection.",,"ENV Inspection Report 29667","HVC_2016-06-16_EP-InspectionRpt_AMS1557_29667","https://mines.empr.gov.bc.ca/api/document/589bb4ff87567d001d187fb1/fetch",,,,,,,
"Highland Valley Copper","ENV",29687,6/16/2016,"JG","On June 16, 2016, Environmental Protection Officer Jack Green conducted an on-site inspection at the Highland Valley Copper (HVC) mine. He was accompanied by 2 other Environmental Protection Officers and several mine employees. The inspector assessed HVC's compliance with requirements of its refuse discharge permit issued under the Environmental Management Act. In addition to the site visit, HVC’s 2015 annual report was reviewed as part of this inspection.",,"ENV Inspection Report 29687","HVC_2016-06-16_EP-InspectionRpt_AMS2460_29687","https://mines.empr.gov.bc.ca/api/document/589bb4ff87567d001d187fb2/fetch",,,,,,,
"Highland Valley Copper","ENV",29676,6/16/2016,"JG","On June 16, 2016, Environmental Protection Officer Jack Green conducted an on-site inspection at the Highland Valley Copper (HVC) mine. He was accompanied by 2 other Environmental Protection Officers and several mine employees. The inspector assessed HVC's compliance with requirements of its biosolids discharge permit issued under the Environmental Management Act. In addition to the site visit, HVC’s 2015 annual report was reviewed as part of this inspection.",,"ENV Inspection Report 29676","HVC_2016-06-16_EP-InspectionRpt_AMS15894_29676","https://mines.empr.gov.bc.ca/api/document/589bb4ff87567d001d187fb3/fetch",,,,,,,
"Line Creek Operations","ENV",20428,2/1/2016,"LA","On February 1, 2016, Liz Archibald, Environmental Protection Officer, conducted a data review of the Line Creek mine. The inspector reviewed data from the first through fourth-quarter reports for 2015 to determine if the mine was in compliance with its compliance its air discharge permit issued under the Environmental Management Act.",,"ENV Inspection Report 20428","Line_Creek_2016-02-01_EP-InspectionRpt_AMS5352_20428","https://mines.empr.gov.bc.ca/api/document/589bb1de87567d001d187f71/fetch",,,,,,,
"Line Creek Operations","ENV",31031,10/27/2016,"SP","On October 27, 2016, Stewart Paterson, Environmental Protection Technician, conducted a desktop inspection of the Line Creek mine. The inspector reviewed the 2015 fourth-quarter report to determine if the mine was in compliance with its effluent discharge permit issued under the Environmental Management Act.",,"ENV Inspection Report 31031","Line_Creek_2016-10-27_EP-InspectionRpt_AMS5353_31031","https://mines.empr.gov.bc.ca/api/document/589bb1de87567d001d187f6c/fetch",,,,,,,
"Line Creek Operations","ENV",31036,10/27/2016,"SP","On October 27, 2016, Stewart Paterson, Environmental Protection Technician, conducted a desktop inspection of the Line Creek mine. The inspector reviewed the 2016 first-quarter report to determine if the mine was in compliance with its effluent discharge permit issued under the Environmental Management Act.",,"ENV Inspection Report 31036","Line_Creek_2016-10-27_EP-InspectionRpt_AMS5353_31036","https://mines.empr.gov.bc.ca/api/document/589bb1de87567d001d187f6f/fetch",,,,,,,
"Line Creek Operations","ENV",31067,10/28/2016,"SP","On October 28, 2016, Stewart Paterson, Environmental Protection Technician, conducted a desktop inspection of the Line Creek mine. The inspector reviewed the 2016 second-quarter report to determine if the mine was in compliance with its effluent discharge permit issued under the Environmental Management Act.",,"ENV Inspection Report 31067","Line_Creek_2016-10-28_EP-InspectionRpt_AMS5353_31067","https://mines.empr.gov.bc.ca/api/document/589bb1de87567d001d187f6e/fetch",,,,,,,
"Line Creek Operations","ENV",31510,10/28/2016,"SP","On October 28, 2016, Stewart Paterson, Environmental Protection Technician, conducted a desktop inspection of the Line Creek mine. The inspector reviewed the 2016 third-quarter report to determine if the mine was in compliance with its effluent discharge permit issued under the Environmental Management Act.",,"ENV Inspection Report 31510","Line_Creek_2016-10-28_EP-InspectionRpt_AMS5353_31510","https://mines.empr.gov.bc.ca/api/document/589bb1de87567d001d187f6d/fetch",,,,,,,
"Mount Milligan","ENV",24765,2/2/2016,"NB","On February 02, 2016, Neil Bailey, Senior Environmental Protection Officer, conducted a file review of the Mount Milligan mine. The inspector reviewed files from between 2013 and 2016, in addition to the 2013 annual report, 2013 third-quarter and fourth-quarter reports, and first through fourth-quarter reports for 2015, to determine if the mine was in compliance with its effluent discharge permit issued under the Environmental Management Act.",,"ENV Inspection Report 24765","Mount_Milligan_2016-02-02_EP-InspectionRpt_AMS104777_24765","https://mines.empr.gov.bc.ca/api/document/589bae8b87567d001d187ef9/fetch",,,,,,,
"Mount Polley","ENV",25206,1/28/2016,"JG","On January 28, 2016, Environmental Protection Officer Jack Green conducted a site inspection at the Mount Polley mine, accompanied by Brian Yamelst (MOE EPD Authorizations), Chris Swan (MOE Impact Assessment Biologist), Seline Lee (Williams Lake Indian Band) and Mount Polley Mining Corporation staff members. ",,"ENV Inspection Report 25206","Mount_Polley_2016-01-28_EP-InspectionRpt_AMS11678_25206","https://mines.empr.gov.bc.ca/api/document/589baa2587567d001d187e74/fetch",,,,,,,
"Mount Polley","ENV",26347,3/4/2016,"JG","On March 04, 2016, Jack Green, Environmental Protection Officer, conducted an office review inspection of the Mount Polley mine. The inspector responded to a January 2016 exceedance report and the February 2016 final incident investigation report. ",,"ENV Inspection Report 26347","Mount_Polley_2016-03-04_EP-InspectionRpt_AMS11678_26347","https://mines.empr.gov.bc.ca/api/document/589baa2587567d001d187e72/fetch",,,,,,,
"Mount Polley","ENV",28467,6/14/2016,"JG","On June 14, 2016, Jack Green, Environmental Protection Officer, conducted an on-site inspection at the Mount Polley mine. He was accompanied by the mine's Environmental Coordinator. The inspector examined compliance with the Environmental Management Act effluent discharge permit. ",,"ENV Inspection Report 28467","Mount_Polley_2016-06-14_EP-InspectionRpt_AMS11678_28467","https://mines.empr.gov.bc.ca/api/document/589baa2587567d001d187e77/fetch",,,,,,,
"Mount Polley","ENV",28991,6/14/2016,"JG","On June 14, 2016, Jack Green, Environmental Protection Officer, conducted an on-site inspection at the Mount Polley mine. He was accompanied by the mine's Environmental Coordinator. The inspector examined compliance with the Environmental Management Act refuse discharge permit. ",,"ENV Inspection Report 28991","Mount_Polley_2016-06-14_EP-InspectionRpt_AMS14590_28991","https://mines.empr.gov.bc.ca/api/document/589baa2587567d001d187e73/fetch",,,,,,,
"Mount Polley","ENV",28990,6/14/2016,"JG","On June 14, 2016, Jack Green, Environmental Protection Officer, conducted an on-site inspection at the Mount Polley mine. He was accompanied by the mine's Environmental Coordinator. The inspector examined compliance with the Environmental Management Act air discharge permit. ",,"ENV Inspection Report 28990","Mount_Polley_2016-06-14_EP-InspectionRpt_AMS15087_28990","https://mines.empr.gov.bc.ca/api/document/589baa2587567d001d187e75/fetch",,,,,,,
"Mount Polley","ENV",21925,6/14/2016,"JG","On June 14, 2016, Jack Green, Environmental Protection Officer, conducted an on-site inspection at the Mount Polley mine. He was accompanied by the mine's Environmental Coordinator. The inspector examined compliance with the Environmental Management Act biosolids discharge permit. ",,"ENV Inspection Report 21925","Mount_Polley_2016-06-14_EP-InspectionRpt_AMS15968_21925","https://mines.empr.gov.bc.ca/api/document/589baa2587567d001d187e76/fetch",,,,,,,
"Mount Polley","ENV",27427,8/12/2016,"LP","On August 12, 2016, Leslie Payette, Operations Manager, conducted an office review inspection of the Mount Polley mine. The inspector reviewed various 2016 non-compliance reports. ",,"ENV Inspection Report 27427","Mount_Polley_2016-08-12_EP-InspectionRpt_AMS11678_27427","https://mines.empr.gov.bc.ca/api/document/589baa2687567d001d187ec0/fetch",,,,,,,
"New Afton","ENV",27162,4/7/2016,"JG, JB","On April 7, 2016, Jack Green, Environmental Protection Officer and Jason Bourgeois, MOE Compliance Section Head conducted an on-site inspection at the New Afton mine. They were accompanied by the mine's Environmental Coordinator. The inspectors toured the mine site and reviewed the 2015 annual report to assess New Afton's compliance with its air discharge permit issued under the Environmental Management Act. ",,"ENV Inspection Report 27162","New_Afton_2016-04-07_EP-InspectionRpt_AMS100223_27162","https://mines.empr.gov.bc.ca/api/document/589bbac687567d001d1881e0/fetch",,,,,,,
"New Afton","ENV",27148,4/7/2016,"JG, JB","On April 7, 2016, Jack Green, Environmental Protection Officer and Jason Bourgeois, MOE Compliance Section Head conducted an on-site inspection at the New Afton mine. They were accompanied by the mine's Environmental Coordinator. The inspection involved a tour of the mine and examining the 2015 annual report to assess New Afton's compliance with its effluent discharge permit issued under the Environmental Management Act. ",,"ENV Inspection Report 27148","New_Afton_2016-04-07_EP-InspectionRpt_AMS100224_27148","https://mines.empr.gov.bc.ca/api/document/589bbac687567d001d1881e1/fetch",,,,,,,
"Red Chris","ENV",27150,8/2/2016,"NB","From August 2–4, 2016, Neil Bailey, Senior Environmental Protection Officer, conducted an on-site inspection at the Red Chris mine. He was accompanied by two other MOE staff members and Red Chris Development Company representatives. The inspector examined the mine's effluent discharges for compliance with its Environmental Management Act effluent discharge permit. ",,"ENV Inspection Report 27150","Red_Chris_2016-08-02_EP-InspectionRpt_AMS105017_27150","https://mines.empr.gov.bc.ca/api/document/589bba6c87567d001d1881c7/fetch",,,,,,,
"Red Chris","ENV",27153,8/2/2016,"NB","From August 2–4, 2016, Neil Bailey, Senior Environmental Protection Officer, conducted an on-site inspection at the Red Chris mine. He was accompanied by two other MOE staff members and Red Chris Development Company representatives. The inspector examined the mine's compliance with its Environmental Management Act air discharge permit. ",,"ENV Inspection Report 27153","Red_Chris_2016-08-02_EP-InspectionRpt_AMS106668_27153","https://mines.empr.gov.bc.ca/api/document/589bba6c87567d001d1881c6/fetch",,,,,,,
"Silvertip","ENV",30376,9/27/2016,"NB, DH","On September 27, 2016, Neil Bailey, Senior Environmental Protection Officer, and Dave Hebert, Environmental Protection officer, conducted an on-site inspection at the Silvertip mine. They were accompanied by JDS Silver staff. The inspectors examined Silvertip's compliance with its Environmental Management Act effluent discharge permit. ",,"ENV Inspection Report 30376","Silvertip_2016-06-27_EP-InspectionRpt_AMS7337_30376","https://mines.empr.gov.bc.ca/api/document/589ba3a987567d001d187dfd/fetch",,,,,,,
"Silvertip","ENV",30591,9/27/2016,"DH, NB","On September 27, 2016, Neil Bailey, Senior Environmental Protection Officer, and Dave Hebert, Environmental Protection Officer, conducted an on-site inspection at the Silvertip mine. The inspectors examined Silvertip's compliance with its Environmental Management Act air discharge permit.",,"ENV Inspection Report 30591","Silvertip_2016-09-27_EP-InspectionRpt_AMS107277_30591","https://mines.empr.gov.bc.ca/api/document/589ba3a987567d001d187dfe/fetch",,,,,,,
"Brucejack","EAO",,7/5/2016,"CP","Between July 5 and July 8, 2016, C&E Parks and C&E McLean inspected the Brucejack Project (Project), including the mine site, access roads, the Tide transfer area, the Redeye camp, the Troy laydown, the Bowser camp, aerodrome, and laydown area, the Knipple transfer area and camp, and the glacier road. During the inspection C&E Parks and C&E McLean noted areas of compliance concern to Pretium staff accompanying the inspection, and completed a debrief of inspection observations with Pretium representatives after the inspection via teleconference on the afternoon of July 21, 2016.","Inspection Report - July 5-8, 2016","EAO Inspection Record",,"https://projects.eao.gov.bc.ca/api/document/5886902ce036fb01057689a1/fetch",,,,,,,
"Brule","EAO",,7/21/2015,"JC, BB","This record details the results of an inspection against conditions attached to EAC# M06-02, that occurred July 21, 2015. The inspection was conducted by Justin Carlson, Compliance Officer, BC Environmental Assessment Office and Brenda Black, Compliance Officer, BC Environmental Assessment Office. In addition to officer Black, officer Carlson was accompanied during the inspection by the following: Alex BRISSARD, Environmental Manager (Walter Energy) and Harrison MAZUR, Environmental Technician (Walter Energy). The Brule Mine is currently in care and maintenance mode as production has stopped. ","Inspection Report - July 21, 2015","EAO Inspection Record",,"https://projects.eao.gov.bc.ca/api/document/5886f8d8a4acd4014b820c99/fetch",,,,,,,
"Red Chris","EAO",,6/17/2015,"CP, BB","EAO Senior Compliance Officer Chris Parks (C&E Parks) and EAO Compliance Officer Brenda Black (C&E Black) conducted an inspection of the Red Chris Mine on June 17, 2015, against the requirements of EAC#M05-02 (Appendix A). Cory KOENIG, Senior Environmental Advisor, Red Chris Development Company Ltd. (RCDC), attended the inspection with C&E Parks and C&E Black. RCDC is a subsidiary of Imperial Metals.","Inspection Report - June 17, 2015","EAO Inspection Record",,"https://projects.eao.gov.bc.ca/api/document/5886b3c4a4acd4014b81ff23/fetch",,,,,,,
